,name,ingredients,steps,url
0,薑汁雞肉燒 (露營OK),"['去骨雞腿:2支', '片栗粉或太白粉:0.5~1大匙', '酒:2大匙', '米霖:2大匙', '醬油:2大匙', '糖:1小匙', '生薑泥:一小匙']","['1:將雞肉水分吸乾，切比一口大小稍大塊', '2:雞肉以塩、黑胡椒抓一抓，以片栗粉抓捏備用; 調好薑汁', '3:鍋中放一點點油，開中火，放入雞肉(皮朝下)，煎至赤赤(約3分)，翻面蓋鍋轉小火煎煮2分鐘', '4:開蓋加入薑汁，轉 中火，煮至濃稠，混合拌勻即完成', '5:請享用～']",https://icook.tw//recipes/293014
1,蝦仁肉片粥 (露營OK),"['高湯:600ml +', '蔥段:1~2枝', '高麗菜:6葉+', '火鍋肉片:6~8片', '蝦仁:10隻+']","['1:肉片以鹽麴抓捏一下備用，蝦仁以酒、鹽抓一下備用', '2:湯鍋加入白飯、高湯 (蓋過飯2倍的量)、蔥段，中火煮滾，轉中小火煮5分鐘', '3:加入高麗菜煮5分鐘後，依序加入肉片煮3分鐘，加入蝦仁煮2分鐘。', '4:最後試試粥的鹹淡，加鹽、黑胡椒調味，就完成了。']",https://icook.tw//recipes/290565
2,清炒鮪魚義大利麵 (露營OK),"['義大利麵:2人份', '高麗菜 (大葉):5~6葉', '洋蔥(切絲):1/3顆', '蒜 (切片):5瓣', '鮪魚罐頭:1/2罐', '野菜 (如彩椒、辣椒等):隨意']","['1:煮滾一鍋水，加1大匙鹽，放入義大利麵煮約8分鐘。放入高麗菜大葉，再煮5分鐘。', '2:平鍋中加一點橄欖油，放入蒜瓣、洋蔥絲、(及野菜們)，以中火炒香後，加入鮪魚翻炒', '3:撈出麵和高麗菜，加入炒鍋拌一下。加鹽、黑胡椒翻炒調整鹹淡，即完成', '4:就是一盤清爽有海味的清炒義大利麵喔!']",https://icook.tw//recipes/290150
3,和風溫沙拉 (露營OK),"['青花菜:300g', '水煮蛋 (切1/4或1/6):1~2個', '小番茄 (切半):5個', '鮪魚罐頭:1/3罐', '鮪魚罐頭汁/油:1/2罐', '糖:0.5小匙', '醬油:1小匙', '橄欖油:1.5小匙', '芥末籽醬(可略):1小匙', '鹽、黑胡椒:少許']","['1:青花菜切小朵，放入加鹽的熱水中清燙4分鐘', '2:將青花菜、番茄、蛋放在盤中，隨意鋪上鮪魚', '3:將和風醬材料放入碗中充分攪拌，淋在沙拉上就OK了呢!', '4:請享用不吃生菜也可以享受的和風溫沙拉 ^^']",https://icook.tw//recipes/289422
4,酸辣湯麵 (露營OK),"['麵條:1.5~2人份', '肉絲:100~150g', '塩麴:1/2大匙', '香油:1大匙', '蔥 (切段):1根', '高湯:400~500 ml', '青江菜:2把', '雞蛋 (打散):2個', '桃屋辣油 (可略):隨意', '醬油:2小匙', '烏醋:1小匙', '片栗粉、太白粉、或蓮藕粉:5g', '水:50g']","['1:煮一鍋水，下麵煮軟 (約10~13分)。肉絲用塩麴抓一抓靜置備用 (醃隔夜更佳)', '2:肉絲撒一點片栗粉略抓', '3:鍋中加香油，開中火，加入肉絲炒至變白，加蔥段略炒', '4:倒入高湯煮滾，蓋鍋轉小火煮2分鐘', '5:湯麵鍋加入青江菜清燙2分鐘', '6:湯頭鍋開蓋，轉中火，加醋、醬油、鹽、黑胡椒調整至喜歡的口味', '7:倒入調好的片栗粉水煮滾，蛋汁繞圈倒入半熟時熄火', '8:碗裡放入麵，倒入湯頭，放上青江菜，可加一小匙桃屋辣油(基本上不辣)，即完成!', '9:請享用！']",https://icook.tw//recipes/289200
5,【日式副菜】淺漬野菜 (露營OK),"['高麗菜 (切小片):50g', '白蘿蔔 (切扇型):100g', '紅蘿蔔 (切絲或小條):40g', '小黃瓜 (切片):0.5~1條', '紅辣椒 (可略):1/2條', '白だし或日式醬油:3大匙或1.5大匙', '醋:1~2小匙']","['1:將所有食材吸乾水份，放入密封袋，輕輕混合、揉捏，放冷蔵至少30分 (一夜最佳)', '2:夾出盛盤就可以嚕!']",https://icook.tw//recipes/288735
6,和風蛤蜊炒麵 (露營OK),"['麵條:2人份', '蛤蜊 (吐沙洗淨):10~12顆', '蒜頭 (切片):4瓣', '青花菜、蘆筍或四季豆:適量', '辣椒 (可略):6小丁', '酒:2~3大匙', '醬油:1/2大匙', '蠔油 (可略):1/2大匙']","['1:煮水下麵煮至軟', '2:平底鍋加2大匙油，入蒜片、四季豆(或其他) 略炒、放入蛤蜊、酒蓋鍋轉小火悶蒸至蛤蜊開口 (約3分鐘)', '3:加入麺略炒，加入醬油、蠔油、辣椒丁拌炒均勻熄火', '4:即完成一盤超合東方人胃口的蛤蜊炒麵了!', '5:請大口大口夾起來吃吧！']",https://icook.tw//recipes/288347
7,【日式副菜】 豆腐煮物 (露營OK),"['豆腐(切成2小塊):1/2塊', '紅蘿蔔:2小塊', '小松菜或其他青菜:6~8葉', '水:500ml', '糖:1小匙', '酒:1大匙', '米霖:1大匙', '日式醬油:1大匙']","['1:醬汁組、紅蘿蔔放入平底鍋，強火煮至沸騰，轉中火放入豆腐、青菜，煮2~3分鐘', '2:即完成好喝的和風豆腐煮物了。']",https://icook.tw//recipes/288348
8,【日式副菜】 柴魚炒菇 (露營OK),"['大型菇類 (切半):一盒', '柴魚:2g', '醬油:1/2 小匙']","['1:鍋中倒點油，放入菇菇，炒至微焦上色', '2:放入柴魚和醬油，扮炒均勻即完成', '3:完美的配角！']",https://icook.tw//recipes/287862
9,快速肉醬燉飯 (露營OK),"['波隆那肉醬:隨意', '茄泥:3大匙', '白飯:2人份', '青豆:適量']","['1:湯鍋中加入白飯、水一杯，開中小火', '2:滾後，加入茄泥、肉醬、青豆仁，攪拌均勻，蓋鍋轉小火燉煮5分鐘', '3:可加鹽、黑胡椒調味 即完成']",https://icook.tw//recipes/287356
